CountryName,CountryId
"Afghanistan",1
"Albania",2
"Algeria",3
"Andorra",4
"Angola",5
"Antigua and Barbuda",6
"Argentina",7
"Armenia",8
"Australia",9
"Austria",10
"Azerbaijan",11
"The Bahamas",12
"Bahrain",13
"Bangladesh",14
"Barbados",15
"Belarus",16
"Belgium",17
"Belize",18
"Benin",19
"Bhutan",20
"Bolivia",21
"Bosnia and Herzegovina",22
"Botswana",23
"Brazil",24
"Brunei",25
"Bulgaria",26
"Burkina Faso",27
"Burundi",28
"Cabo Verde",29
"Cambodia",30
"Cameroon",31
"Canada",32
"Central African Republic",33
"Chad",34
"Chile",35
"China",36
"Colombia",37
"Comoros",38
"Congo, Democratic Republic of the",39
"Republic of the Congo",40
"Costa Rica",41
"Côte d’Ivoire",42
"Croatia",43
"Cuba",44
"Cyprus",45
"Czech Republic",46
"Denmark",47
"Djibouti",48
"Dominica",49
"Dominican Republic",50
"East Timor (Timor-Leste)",51
"Ecuador",52
"Egypt",53
"El Salvador",54
"Equatorial Guinea",55
"Eritrea",56
"Estonia",57
"Eswatini",58
"Ethiopia",59
"Fiji",60
"Finland",61
"France",62
"Gabon",63
"The Gambia",64
"Georgia",65
"Germany",66
"Ghana",67
"Greece",68
"Grenada",69
"Guatemala",70
"Guinea",71
"Guinea-Bissau",72
"Guyana",73
"Haiti",74
"Honduras",75
"Hungary",76
"Iceland",77
"India",78
"Indonesia",79
"Iran",80
"Iraq",81
"Ireland",82
"Israel",83
"Italy",84
"Jamaica",85
"Japan",86
"Jordan",87
"Kazakhstan",88
"Kenya",89
"Kiribati",90
"Korea, North",91
"Korea, South",92
"Kosovo",93
"Kuwait",94
"Kyrgyzstan",95
"Laos",96
"Latvia",97
"Lebanon",98
"Lesotho",99
"Liberia",100
"Libya",101
"Liechtenstein",102
"Lithuania",103
"Luxembourg",104
"Madagascar",105
"Malawi",106
"Malaysia",107
"Maldives",108
"Mali",109
"Malta",110
"Marshall Islands",111
"Mauritania",112
"Mauritius",113
"Mexico",114
"Micronesia, Federated States of Moldova",116
"Monaco",117
"Mongolia",118
"Montenegro",119
"Morocco",120
"Mozambique",121
"Myanmar (Burma)",122
"Namibia",123
"Nauru",124
"Nepal",125
"Netherlands",126
"New Zealand",127
"Nicaragua",128
"Niger",129
"Nigeria",130
"North Macedonia",131
"Norway",132
"Oman",133
"Pakistan",134
"Palau",135
"Panama",136
"Papua New Guinea",137
"Paraguay",138
"Peru",139
"Philippines",140
"Poland",141
"Portugal",142
"Qatar",143
"Romania",144
"Russia",145
"Rwanda",146
"Saint Kitts and Nevis",147
"Saint Lucia",148
"Saint Vincent and the Grenadines",149
"Samoa",150
"San Marino",151
"Sao Tome and Principe",152
"Saudi Arabia",153
"Senegal",154
"Serbia",155
"Seychelles",156
"Sierra Leone",157
"Singapore",158
"Slovakia",159
"Slovenia",160
"Solomon Islands",161
"Somalia",162
"South Africa",163
"Spain",164
"Sri Lanka",165
"Sudan",166
"Sudan, South",167
"Suriname",168
"Sweden",169
"Switzerland",170
"Syria",171
"Taiwan",172
"Tajikistan",173
"Tanzania",174
"Thailand",175
"Togo",176
"Tonga",177
"Trinidad and Tobago",178
"Tunisia",179
"Turkey",180
"Turkmenistan",181
"Tuvalu",182
"Uganda",183
"Ukraine",184
"United Arab Emirates",185
"United Kingdom",186
"United States",187
"Uruguay",188
"Uzbekistan",189
"Vanuatu",190
"Vatican City",191
"Venezuela",192
"Vietnam",193
"Yemen",194
"Zambia",195
"Zimbabwe",196
"Other",197
"Could not determine",198
"Dutch Carribean",199
"Cayman Islands",200
